Vernier Format 2
Bandlücke-Si_Fehler.cmbl 07.09.2016 12:08:56 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

58,5	-39,48051974	0,641026	3,61172	-1050,20698687	-1,17976743203
59	-39,415316718	0,681319	3,61905	-1048,7554776	-1,1814002658
59,5	-39,415316718	0,663004	3,63248	-1048,7554776	-1,1814002658
60	-39,415316718	0,648352	3,61661	-1048,7554776	-1,1814002658
60,5	-39,415316718	0,620269	3,61783	-1048,7554776	-1,1814002658
61	-39,415316718	0,647131	3,63126	-1048,7554776	-1,1814002658
61,5	-39,415316718	0,634921	3,63248	-1048,7554776	-1,1814002658
62	-39,415316718	0,641026	3,63248	-1048,7554776	-1,1814002658
62,5	-39,415316718	0,628816	3,59219	-1048,7554776	-1,1814002658
63	-39,415316718	0,638584	3,58852	-1048,7554776	-1,1814002658
63,5	-39,415316718	0,664225	3,60684	-1048,7554776	-1,1814002658
64	-39,350113696	0,644689	3,63126	-1047,30261014	-1,18303915985
64,5	-39,415316718	0,6337	3,62759	-1048,7554776	-1,1814002658
65	-39,415316718	0,626374	3,6105	-1048,7554776	-1,1814002658
65,5	-39,415316718	0,628816	3,62759	-1048,7554776	-1,1814002658
66	-39,415316718	0,638584	3,62149	-1048,7554776	-1,1814002658
66,5	-39,415316718	0,611722	3,63858	-1048,7554776	-1,1814002658
67	-39,415316718	0,648352	3,62149	-1048,7554776	-1,1814002658
67,5	-39,48051974	0,647131	3,62759	-1050,20698687	-1,17976743203
68	-39,415316718	0,634921	3,61661	-1048,7554776	-1,1814002658
68,5	-39,415316718	0,643468	3,61416	-1048,7554776	-1,1814002658
69	-39,350113696	0,647131	3,62515	-1047,30261014	-1,18303915985
69,5	-39,415316718	0,641026	3,60684	-1048,7554776	-1,1814002658
70	-39,350113696	0,654457	3,63248	-1047,30261014	-1,18303915985
70,5	-39,415316718	0,625153	3,62393	-1048,7554776	-1,1814002658
71	-39,415316718	0,676435	3,61172	-1048,7554776	-1,1814002658
71,5	-39,415316718	0,628816	3,60806	-1048,7554776	-1,1814002658
72	-39,415316718	0,666667	3,64103	-1048,7554776	-1,1814002658
72,5	-39,415316718	0,638584	3,64713	-1048,7554776	-1,1814002658
73	-39,350113696	0,67033	3,64591	-1047,30261014	-1,18303915985
73,5	-39,415316718	0,70696	3,63492	-1048,7554776	-1,1814002658
74	-39,350113696	0,650794	3,63492	-1047,30261014	-1,18303915985
74,5	-39,415316718	0,59707	3,60684	-1048,7554776	-1,1814002658
75	-39,350113696	0,62149	3,60684	-1047,30261014	-1,18303915985
75,5	-39,415316718	0,692308	3,63004	-1048,7554776	-1,1814002658
76	-39,415316718	0,637363	3,60073	-1048,7554776	-1,1814002658
76,5	-39,415316718	0,636142	3,63126	-1048,7554776	-1,1814002658
77	-39,415316718	0,610501	3,59096	-1048,7554776	-1,1814002658
