Vernier Format 2
Bandlücke-Si.cmbl 07.09.2016 11:35:41 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

58	-27,734265743	0,034188	1,01587	-768,675997891	-1,61186247964
58,5	-27,473453655	0,0683761	0,967033	-762,013049096	-1,62595640779
59	-26,951295028	0,0622711	0,924298	-748,626187034	-1,65503160517
59,5	-26,689948489	0,034188	0,843712	-741,902487516	-1,6700307936
60	-26,363933379	0,010989	0,693529	-733,493428842	-1,68917668691
60,5	-25,906977774	0,04884	0,504274	-721,667052378	-1,71685820479
61	-25,580962664	0,0586081	0,330891	-713,201419511	-1,73723714803
61,5	-25,319616125	0,032967	0,218559	-706,398347317	-1,75396786347
62	-24,797457498	0,0708181	0,178266	-692,762239708	-1,78849239895
62,5	-24,53664541	0,0769231	0,168498	-685,929546897	-1,80630795918
63	-24,2106303	0,035409	0,157509	-677,368710326	-1,829136748
63,5	-23,753674695	0,0549451	0,142857	-665,332655505	-1,8622263461
64	-23,427125134	0,0561661	0,152625	-656,705479693	-1,88669051548
64,5	-23,231516068	0,032967	0,157509	-651,527411986	-1,90168514357
65	-22,644154419	0,014652	0,147741	-635,933667651	-1,94831640944
65,5	-22,383342331	0,0671551	0,147741	-628,987897019	-1,96983122548
66	-22,05679277	0,025641	0,145299	-620,273092937	-1,9975072498
66,5	-21,600371616	0,045177	0,147741	-608,05863749	-2,03763243149
67	-21,339025077	0,0525031	0,15873	-601,047223453	-2,06140208565
67,5	-21,013009967	0,0525031	0,164835	-592,283365879	-2,09190409756
68	-20,49085134	0,04884	0,169719	-578,206993398	-2,14283122506
68,5	-20,295242274	0,0610501	0,145299	-572,921329207	-2,16260058203
69	-19,707880625	0,0586081	0,148962	-557,010012361	-2,22437653275
69,5	-19,446534086	0,0940171	0,163614	-549,911355599	-2,253090407
70	-19,185721998	0,0586081	0,175824	-542,815809064	-2,28254221655
70,5	-18,663563371	0,0781441	0,177045	-528,576523149	-2,34403146136
71	-18,402751283	0,0500611	0,156288	-521,447653371	-2,37607742981
71,5	-17,880592656	0,028083	0,164835	-507,142983942	-2,44309798071
72	-17,619246117	0,0708181	0,162393	-499,967437586	-2,47816138983
72,5	-17,358434029	0,0695971	0,166056	-492,796194639	-2,51422396009
73	-16,77107238	0,106227	0,191697	-476,609038014	-2,59961499086
73,5	-16,510260292	0,0695971	0,178266	-469,405132975	-2,63951097456
74	-16,248913753	0,041514	0,162393	-462,176709505	-2,68079281046
74,5	-15,726755126	0,047619	0,151404	-447,705995716	-2,76744115972
75	-15,400740016	0,0915751	0,167277	-438,652124805	-2,82456171972
75,5	-15,20513095	0,0573871	0,175824	-433,212966523	-2,86002519718
76	-14,617769301	0,0830281	0,153846	-416,850540936	-2,97228833437
76,5	-14,356422762	0,0622711	0,157509	-409,555895582	-3,02522809064
77	-14,095610674	0,04884	0,156288	-402,267672522	-3,08003870217
77,5	-13,573452047	0,0659341	0,167277	-387,65139447	-3,19617062566
78	-13,312639959	0,0866911	0,167277	-380,338602759	-3,25762357808
78,5	-13,05129342	0,1221	0,167277	-373,002920709	-3,32168980781
79	-12,529669244	0,0903541	0,164835	-358,338508293	-3,45762448446
79,5	-12,203119683	0,0500611	0,157509	-349,143031874	-3,54868889506
80	-11,680961056	0,0927961	0,168498	-334,415857496	-3,70496784835
80,5	-11,48535199	0,125763	0,179487	-328,891602839	-3,76719864327
81	-11,158802429	0,113553	0,190476	-319,660908793	-3,8759822234
81,5	-10,637178253	0,106227	0,17094	-304,894553843	-4,06370000508
82	-10,310628692	0,100122	0,168498	-295,637512891	-4,19094311776
82,5	-10,115019626	0,0866911	0,174603	-290,087760324	-4,27112125867
83	-9,592860999	0,114774	0,166056	-275,256874073	-4,50124998393
83,5	-9,332048911	0,0879121	0,168498	-267,840382757	-4,62588944671
84	-9,070702372	0,14652	0,186813	-260,403126844	-4,7580073827
84,5	-8,809890284	0,125763	0,20757	-252,975678612	-4,89770402751
85	-8,222528635	0,129426	0,200244	-236,229740071	-5,24489422723
85,5	-8,026919569	0,141636	0,184371	-230,647242292	-5,37183964434
86	-7,700370008	0,161172	0,186813	-221,321869	-5,59818153351
86,5	-7,178211381	0,128205	0,203907	-206,395616429	-6,00303447059
87	-6,917399293	0,151404	0,203907	-198,933632037	-6,22820780636
87,5	-6,656587205	0,227106	0,218559	-191,467525554	-6,47107125041
88	-6,134428578	0,185592	0,227106	-176,508246065	-7,01950207777
88,5	-5,873082039	0,162393	0,205128	-169,015368025	-7,33069432962
89	-5,28572039	0,186813	0,205128	-152,162950098	-8,14258660996
89,5	-5,090111324	0,20757	0,227106	-146,54695197	-8,45462824945
90	-4,764096214	0,196581	0,250305	-137,183191684	-9,03171871707
90,5	-4,241937587	0,194139	0,257631	-122,176697902	-10,1410499815
91	-3,980591048	0,239316	0,235653	-114,661882786	-10,80568337
91,5	-3,71977896	0,266178	0,257631	-107,160056948	-11,5621439115
